,acts,preds,hold_out_loss
89,191653.14661458333,236543.765625,29941.830078125
90,193183.77135416667,312999.96875,29941.830078125
91,184758.12244791663,135928.484375,29941.830078125
92,178937.4003125,173867.546875,29941.830078125
93,180694.01619791667,145674.59375,29941.830078125
94,180773.598125,96385.6328125,29941.830078125
95,176479.60436197915,221294.953125,29941.830078125
96,176024.40177083333,85701.4453125,29941.830078125
97,173655.2090625,145941.9375,29941.830078125
98,177743.75270833337,91774.640625,29941.830078125
99,167421.09692708333,142712.84375,29941.830078125
100,165783.27875,188587.453125,29941.830078125
101,165809.37682291667,129585.65625,29941.830078125
102,167506.73786458332,168123.640625,29941.830078125
103,170578.38067708333,157683.0,29941.830078125
104,170185.35666666663,36294.12890625,29941.830078125
105,174822.06125,198639.53125,29941.830078125
106,179347.77864583337,144793.125,29941.830078125
107,176813.5673828125,221307.0,29941.830078125
108,178965.4003125,77012.5390625,29941.830078125
109,180954.50333333333,40587.01171875,29941.830078125
110,183257.38791666663,79199.5,29941.830078125
111,174420.57463541668,133314.59375,29941.830078125
112,169076.10333333333,262295.40625,29941.830078125
113,172515.48854166668,132762.890625,29941.830078125
114,175740.4730208333,-0.0,29941.830078125
115,181097.56458333333,155946.03125,29941.830078125
116,180380.5806770833,247716.546875,29941.830078125
117,182334.82328125,199614.0625,29941.830078125
118,182504.01109375,214743.125,29941.830078125
119,184720.80553385415,181682.046875,29941.830078125
120,183139.758125,247743.328125,29941.830078125
121,178431.27265625,137488.359375,29941.830078125
122,182826.30828125,123620.7421875,29941.830078125
123,184339.70010416667,198067.53125,29941.830078125
124,183839.61083333328,196658.6875,29941.830078125
125,186191.65510416665,225690.875,29941.830078125
126,182956.02416666667,172666.765625,29941.830078125
127,183957.20109375,126245.9453125,29941.830078125
128,184657.98489583333,119401.7890625,29941.830078125
129,186632.2190625,181495.546875,29941.830078125
130,184932.90463541663,200114.046875,29941.830078125
131,192019.412890625,180981.75,29941.830078125
132,188301.07328125,-0.0,29941.830078125
133,192530.10692708328,215015.96875,29941.830078125
134,185913.284375,30885.859375,29941.830078125
135,170838.67328125,81527.265625,29941.830078125
136,166732.64020833332,149364.390625,29941.830078125
137,166634.41005208335,82591.6953125,29941.830078125
138,166715.87802083333,177117.171875,29941.830078125
139,160800.34713541667,109983.1640625,29941.830078125
140,164899.09927083337,146106.6875,29941.830078125
141,164974.10270833335,48904.0703125,29941.830078125
142,165586.94244791663,76192.0,29941.830078125
143,161734.55345052082,87844.59375,29941.830078125
144,163535.74989583335,225170.125,29941.830078125
145,168411.07479166667,101386.3046875,29941.830078125
146,157493.95046875,24485.3046875,29941.830078125
147,156637.54875,70628.4609375,29941.830078125
148,152934.86376463211,31619.875,29941.830078125
149,156834.20885416667,94976.65625,29941.830078125
150,153689.4527604167,126683.140625,29941.830078125
151,152000.15984375,133880.28125,29941.830078125
152,151892.03125,137550.390625,29941.830078125
153,153553.2096875,55391.58984375,29941.830078125
154,155544.99036458333,151635.390625,29941.830078125
155,157518.716015625,158647.65625,29941.830078125
156,155705.6175520833,143408.078125,29941.830078125
157,154298.1653125,28157.09375,29941.830078125
158,157402.23151041663,108650.9296875,29941.830078125
159,153510.354375,69987.6484375,29941.830078125
160,150783.85010416663,148593.4375,29941.830078125
161,150552.4315625,123474.125,29941.830078125
162,146923.31229166663,67211.9609375,29941.830078125
163,142137.55104166668,114371.6015625,29941.830078125
164,148023.0934375,31703.7578125,29941.830078125
165,147029.7503645833,119492.3671875,29941.830078125
166,147995.30848958335,47249.23828125,29941.830078125
167,140062.648828125,116632.84375,29941.830078125
168,141175.69109375,104421.046875,29941.830078125
169,132021.80669271332,94984.9921875,29941.830078125
170,135494.69015625,63972.03125,29941.830078125
171,133302.11153643005,53339.75,29941.830078125
172,129689.3043739766,4601.15380859375,29941.830078125
173,131483.17770832335,119678.5234375,29941.830078125
174,131663.98143230993,76606.7109375,29941.830078125
175,130384.88916665336,671.1775512695312,29941.830078125
176,130481.92299479664,141040.671875,29941.830078125
177,131177.13442708337,57687.75,29941.830078125
178,132617.48486978665,98392.09375,29941.830078125
179,129733.44752604164,96963.59375,29941.830078125
180,128558.13489585002,102359.875,29941.830078125
181,129103.19348956006,84480.3671875,29941.830078125
182,124857.06065103,132108.171875,29941.830078125
183,125493.85864583332,107732.5859375,29941.830078125
184,131153.31684895663,103197.0546875,29941.830078125
185,124748.53247395669,14288.5087890625,29941.830078125
186,123986.66526040336,113144.1640625,29941.830078125
187,125116.79802082668,122556.2890625,29941.830078125
188,118957.62664066332,50894.04296875,29941.830078125
189,121684.53669272664,57855.078125,29941.830078125
190,124405.44653646332,25846.662109375,29941.830078125
