h,m_b,W
13,40,137723.24535472973
13,45,138567.21893351676
13,50,140517.14088541668
13,55,139146.4616956751
14,0,130370.27750105035
14,5,134440.59542785905
14,10,139713.87657298657
14,15,143402.45395833332
14,20,138672.14112145483
14,25,128769.32054922899
14,30,129228.0995052233
14,35,129401.06097433668
14,40,124126.08591145002
14,45,116081.9893465657
14,50,126029.67911458333
14,55,128390.52126188186
15,0,118451.18979165668
15,5,108798.24465044065
15,10,106308.5628396923
15,15,104546.50921873
15,20,101054.90834732883
15,25,106290.47069000338
15,30,104709.37002605663
15,35,102331.84056716158
15,40,101667.05114829863
15,45,103196.18099396654
15,50,104500.02890098986
15,55,98768.2923502542
16,0,101562.74910562964
16,5,97830.10948057767
16,10,104254.03408853333
16,15,105929.48136010065
16,20,105780.49708019193
16,25,103889.95484374333
16,30,102459.62479168666
16,35,100186.70304582767
16,40,99218.14511920064
16,45,96023.32843749001
16,50,98659.21234109152
16,55,98251.65193517567
17,0,95953.79891306687
17,5,93926.32817798981
17,10,94597.47015625001
17,15,96746.25833331002
17,20,98875.572616539
17,25,102670.52794269004
17,30,104010.45167825585
17,35,103104.98961826513
17,40,100940.37492162206
17,45,100823.97314291915
17,50,96213.29328125999
17,55,93301.11626058475
18,0,91900.83917748161
18,5,92348.53245596644
18,10,95483.32233797979
18,15,96424.74268225003
18,20,97774.58857689523
18,25,94115.70545048825
18,30,96130.81858800331
18,35,94610.13078703704
18,40,92500.14885419997
18,45,95221.76435378983
18,50,94473.39429686003
18,55,90540.46499208015
19,0,89649.66851562336
19,5,90405.51934772823
19,10,90780.27764622227
19,15,90772.74408851667
19,20,92958.03906251011
19,25,96609.62865800338
19,30,94967.0403428461
19,35,99144.39504422217
19,40,93913.50651039334
19,45,88156.51181077781
19,50,91368.54986368118
19,55,90293.75494786672
20,0,90200.61246306752
20,5,88034.66189382605
20,10,92291.66804686999
20,15,88781.37568395282
20,20,90581.6329170234
20,25,87384.49234476517
20,30,90241.6945808997
20,35,92184.21622391675
20,40,90024.74654243245
20,45,89143.13589571905
20,50,89240.31536458666
20,55,87723.96825554011
21,0,89255.30560814479
21,5,90596.84911456336
21,10,90570.1172927306
21,15,89985.84968750001
21,20,86962.16750841748
21,25,88883.17770833333
21,30,91275.15937501
21,35,88879.88149282432
21,40,88375.0813281333
21,45,91431.25002611037
21,50,87298.1446759192
21,55,89363.18030599582
22,0,89714.54482452493
22,5,89114.340892396
22,10,84689.311477547
22,15,87570.16135416669
22,20,85108.62224577286
22,25,87577.96446486955
22,30,84499.09437501333
22,35,83891.51546718519
22,40,85967.28216146003
22,45,88959.19460227946
22,50,83778.61312393624
22,55,87423.42597653334
23,0,84296.49444211078
23,5,85917.0963628462
23,10,87856.6789559097
23,15,85759.46538662713
23,20,88574.87754300001
23,25,84693.85395832
23,30,90143.38723170705
23,35,87707.67001362416
23,40,87254.39052079336
23,45,88537.9518581182
23,50,87080.86718753663
23,55,86580.70667317914
0,0,90334.68728741155
0,5,85500.35056960201
0,10,88961.41921871007
0,15,87681.92926374916
0,20,85894.76999998669
0,25,89109.93611980001
0,30,84947.62542370171
0,35,87237.89289820736
0,40,82746.45919271997
0,45,83502.84440983788
0,50,84567.17289061668
0,55,85026.63052433888
1,0,84285.7608273859
1,5,86702.98718751996
1,10,79494.83115003702
1,15,83581.42835493645
1,20,81777.83089464884
1,25,84377.70359847143
1,30,87272.27278643336
1,35,89048.58821503389
1,40,90363.18477350673
1,45,84798.67210934669
1,50,84171.16227379795
1,55,82579.61908344347
2,0,85086.68781462747
2,5,81968.79605952863
2,10,81852.63617186001
2,15,80818.97062391556
2,20,79586.86778845818
2,25,79319.86220635904
2,30,78715.32278510442
2,35,81695.20375001663
2,40,83224.68281252998
2,45,83147.38297083783
2,50,87563.7412405219
2,55,89194.16507164996
3,0,86529.23975106778
3,5,86666.04880207668
3,10,90037.02898435335
3,15,93451.35153602708
3,20,88840.88694085284
3,25,93225.86091658527
3,30,95255.96540930642
3,35,96541.074375
3,40,94127.73851718125
3,45,91033.81353284745
3,50,101179.28255209331
3,55,97058.90403645001
4,0,97894.7223274478
4,5,97857.80744021479
4,10,104263.95906249
4,15,103866.29051907793
4,20,108364.92119335571
4,25,116242.67846354996
4,30,120314.92066091551
4,35,116889.54052082337
