h,m_b,W
3,30,124484.45140623336
3,35,121182.64010417332
3,40,121797.38825519
3,45,123831.55231769668
3,50,122062.12421875668
3,55,129671.98753255002
4,0,133190.53825523332
4,5,135387.25046875
4,10,141737.41286458334
4,15,151353.44817708334
4,20,154320.68739583335
4,25,159117.91010416666
4,30,163792.85260416666
4,35,165868.32916666666
4,40,173129.14984375
4,45,175475.9121875
4,50,180208.40989583332
4,55,183682.54915364584
5,0,187275.69729166667
5,5,180549.255625
5,10,189283.50604166667
5,15,189645.3509375
5,20,188584.6553125
5,25,194740.42463541665
5,30,185961.93203125
5,35,193366.12036458333
5,40,197781.53296875
5,45,191567.98614583333
5,50,184468.28197916667
5,55,192321.34791666668
6,0,185751.73859375
6,5,190481.76380208333
6,10,193232.70463541665
6,15,192454.74010416667
6,20,192635.97395833334
6,25,197801.908125
6,30,196953.923125
6,35,193616.7821875
6,40,193521.96848958332
6,45,198854.16552083334
6,50,196826.39557291666
6,55,198232.9669921875
7,0,195977.73151041666
7,5,194368.61953125
7,10,193411.22416666665
7,15,189924.8278125
7,20,187773.04947916666
7,25,191043.48958333334
7,30,189066.58338541666
7,35,182401.060625
7,40,187634.6090625
7,45,181237.53072916667
7,50,183738.18395833333
7,55,184380.51888020834
8,0,182580.56786458334
8,5,182057.80697916666
8,10,184097.90286458333
8,15,178232.49489583334
8,20,185498.62515625
8,25,186273.953125
8,30,181463.47609375
8,35,192183.62807291668
8,40,182987.103125
8,45,181086.33411458333
8,50,184129.08229166668
8,55,182457.2
9,0,183494.46151041667
9,5,185922.60833333334
9,10,184516.51046875
9,15,190592.49828125
9,20,191920.57755208333
9,25,188219.6690625
9,30,185339.23692708334
9,35,192567.73854166668
9,40,180353.94109375
9,45,185996.3915625
9,50,189632.874375
9,55,189764.74459635417
10,0,185096.49161458333
10,5,184785.43177083333
10,10,187127.42755208333
10,15,185528.77463541666
10,20,184342.78765625
10,25,186294.34854166667
10,30,186545.48677083335
10,35,191702.40776041665
10,40,184309.46546875
10,45,192415.75552083334
10,50,188906.71270833333
10,55,186768.52102864583
11,0,188463.39161458332
11,5,184787.60421875
11,10,191279.43447916667
11,15,193634.70307291666
11,20,184513.1290625
11,25,182579.03
11,30,190353.03046875
11,35,180777.30677083333
11,40,179998.43411458333
11,45,182926.85739583333
11,50,181793.79067708334
11,55,181870.62454427083
12,0,183766.61333333334
12,5,178720.10411458334
12,10,179915.75661458334
12,15,178022.76255208332
12,20,172733.16583333333
12,25,175307.74859375
12,30,171574.95817708335
12,35,165477.59411458333
12,40,166094.1490625
12,45,166121.84994791666
12,50,169534.49828125
12,55,167321.21907552084
13,0,165385.700625
13,5,163509.81005208334
13,10,163343.32979166668
13,15,156671.32520833332
13,20,149926.57380208332
13,25,144496.6309375
13,30,143412.35276041666
13,35,145281.53348958332
13,40,144523.77729166666
13,45,142808.37348958335
13,50,147755.37989583332
13,55,143855.1447265625
14,0,135838.070625
14,5,139025.88414062333
14,10,144887.09505208334
14,15,133426.73695311
14,20,136845.48567707336
14,25,134389.79059896333
14,30,133284.26138021
14,35,131995.83067709333
14,40,125588.95901043667
14,45,127128.07466145331
14,50,124591.34869790671
14,55,121653.02470700837
15,0,123469.59549479999
15,5,127005.16945308005
15,10,128777.44135416667
15,15,122839.32171879662
15,20,121106.92906248667
15,25,118511.97888021002
15,30,121842.48809892671
15,35,119623.1130729733
15,40,121605.79166667997
15,45,120960.71031248334
15,50,124555.61908852
15,55,125421.24244790003
16,0,122028.34330727666
16,5,121384.54596354999
16,10,119437.05958333999
16,15,122958.70544270334
16,20,125797.56708333333
16,25,117506.00874997668
16,30,122123.76179683673
16,35,127864.90822916
16,40,129396.88080726005
16,45,130380.34817708333
16,50,126507.47354167668
16,55,127979.87353515415
17,0,129370.57593751329
17,5,126751.58442708333
17,10,125092.21906251664
17,15,130212.25177082002
17,20,122879.72260414338
17,25,125570.21401042
17,30,127452.00007812666
17,35,126263.98601563998
17,40,129087.39807291003
17,45,125410.01783855664
17,50,124878.81114583333
17,55,123436.06165364162
18,0,124347.17057288006
18,5,127277.39539065328
18,10,128060.04026039335
18,15,130934.82304687334
18,20,130731.00411459664
18,25,128618.56213540668
18,30,129823.50963540668
18,35,123662.74427082333
18,40,119392.20317707
18,45,126846.72291667
18,50,124273.74932291667
18,55,121903.04877097905
19,0,123089.23322916334
19,5,117607.79809895331
19,10,118931.11351565331
19,15,119418.67497395001
19,20,120214.74809896332
19,25,120919.25119792332
19,30,119313.64005210996
19,35,117708.49653647334
19,40,118766.27174479666
19,45,120243.42554686
19,50,115973.28809895332
19,55,124721.86067707086
20,0,118960.26294270334
20,5,119015.19059891341
20,10,123732.83562501331
20,15,119925.54078126667
20,20,120982.84406251664
20,25,121561.53783856666
20,30,121922.77502604332
20,35,116965.35013017339
20,40,123896.91070308337
20,45,118408.92864584332
20,50,122248.06986977003
20,55,118614.17413047283
21,0,122293.98471351668
21,5,122607.60934897666
21,10,117889.68994789005
21,15,117364.18460938668
21,20,116890.64799476671
21,25,119505.37361981995
21,30,116640.61627603335
21,35,116767.86427083
21,40,116051.79596355332
21,45,115383.12494795
21,50,108604.95195315663
21,55,102880.80615235
22,0,100639.76606769337
22,5,99150.44890622672
22,10,102733.30335937664
22,15,103442.4309895767
22,20,102198.37010413007
22,25,105455.93929686335
22,30,101188.64809893671
22,35,102743.70260411008
22,40,101641.02231772328
22,45,99001.89083334
22,50,101142.24718749002
22,55,101689.88219142678
23,0,99158.23359375668
23,5,100965.54960935336
23,10,105384.74429686004
23,15,102237.53127604337
23,20,100918.66843750667
23,25,102715.13117183668
23,30,101499.22812498335
23,35,98686.05460939994
23,40,98786.16111977001
23,45,103039.51216147664
23,50,98656.86458330335
23,55,106392.20774732094
0,0,99899.44195311671
0,5,101156.25171872004
0,10,102233.91505207999
0,15,98166.88239581004
0,20,97883.06958330004
0,25,101296.82177084997
0,30,96155.2054166833
0,35,97727.03934898996
0,40,99294.86411458666
0,45,98032.74242186332
0,50,98603.2423958167
0,55,98024.88619789168
1,0,93924.19445310668
1,5,96343.70278643668
1,10,96146.92223957999
1,15,92856.82559893001
1,20,96783.36442708998
1,25,99189.14489581004
1,30,96112.79921875667
1,35,97027.6661198
1,40,97555.78861979999
1,45,97401.25973960332
1,50,95772.19010417332
1,55,96379.9515950375
2,0,95675.22770834329
2,5,96343.95890621006
2,10,100287.43747395
2,15,96115.75039065331
2,20,93318.22520834
2,25,102525.14575519669
2,30,96852.1927344266
2,35,93966.70059897998
2,40,96837.03117189
2,45,98808.02046875666
2,50,97804.93653645337
2,55,96909.60332033334
3,0,97208.89249999667
3,5,96857.56890624002
3,10,99084.65700522331
3,15,96557.08799477668
3,20,96320.16088542667
3,25,96505.2293749767
3,30,99868.92013021665
3,35,94166.19302080336
3,40,95786.80825521004
3,45,98378.74480847418
3,50,91857.76398436667
3,55,99106.37877604162
4,0,97428.8033854
4,5,93829.19190393054
4,10,100049.91921873005
4,15,97800.68367186334
4,20,99215.08947915334
4,25,109708.95124996336
4,30,104758.15679867893
4,35,107877.83242186999
4,40,110324.56968959133
4,45,111856.48945313
4,50,115148.56416668331
4,55,114364.00797522503
5,0,120283.76872393668
5,5,123608.24960938332
5,10,127055.5779687733
5,15,126072.75948472915
5,20,121688.58205728335
5,25,123912.65244789337
5,30,132770.40135417666
5,35,121937.7776562367
5,40,135304.87101563666
5,45,125912.27388022999
5,50,131312.48244795
5,55,123824.45977049376
6,0,130981.83859375333
6,5,124531.70265622338
6,10,129083.73643229663
6,15,130116.34145834332
6,20,131589.02791668996
6,25,135295.01802083667
6,30,128642.38302153845
6,35,125746.74562504662
6,40,127032.1432291467
6,45,126146.25645835663
6,50,128404.08174480997
6,55,130465.65224608335
7,0,129805.69622398664
7,5,126539.2209895767
7,10,133935.99908854332
7,15,130989.41010413336
7,20,130221.77273668775
7,25,132134.46031250333
7,30,131133.51773436
7,35,131098.83453124334
7,40,131223.57343748337
7,45,128317.12450519668
7,50,134814.65859374002
7,55,135302.37991536252
8,0,133861.86687499334
8,5,134498.98739583002
8,10,134757.63354410368
8,15,140805.53963541667
8,20,135417.249375
8,25,133447.44106771
8,30,131496.50158855334
8,35,132933.14908854
8,40,133822.55593749002
8,45,132190.00291666333
8,50,133833.72765625332
8,55,135426.46969401248
9,0,133521.6976302133
9,5,131313.69406250998
9,10,124825.1741666933
9,15,124905.49505207
9,20,135109.12270834998
9,25,132617.54502605
9,30,131605.6237499867
9,35,134885.88208332
9,40,131429.09200520001
9,45,134014.97445312666
9,50,130964.7163802433
9,55,134155.0833984375
10,0,133143.26179686002
10,5,136808.11994791665
10,10,132763.41520833666
10,15,129794.59101564
10,20,130706.38033856663
10,25,130549.12520831334
10,30,137192.34221354
10,35,141189.40614583335
10,40,136609.02734375
10,45,139817.68645833334
10,50,144870.59682291668
10,55,138299.24361979167
11,0,137100.86552083332
11,5,136914.32455728334
11,10,134417.9241926867
11,15,132793.71708333332
11,20,132144.20770831668
11,25,129260.69744793663
11,30,132658.05632813333
11,35,134009.15460938
11,40,131160.99846353667
11,45,135499.00601562334
11,50,135628.69210938332
11,55,138162.943359375
12,0,137039.48723958666
12,5,136032.38973959
12,10,132075.25453125333
12,15,137452.1125520767
12,20,137105.6844270767
12,25,133938.55213541666
12,30,132239.11828125332
12,35,126787.49320313332
12,40,124953.44093752326
12,45,129016.28789063329
12,50,121371.07247394003
12,55,118443.16487630829
13,0,125517.89197914334
13,5,120426.76583333
13,10,126189.49747397663
13,15,124584.00453126663
13,20,123619.24127602004
13,25,122959.61919270332
13,30,123464.36497390675
13,35,124852.11026041664
13,40,124860.22395832003
13,45,124810.50338543
13,50,122451.21096357994
13,55,123727.55524089583
14,0,126753.31815103335
14,5,121189.49520830669
14,10,130227.90523437
14,15,125634.72335936336
14,20,124327.42026045332
14,25,128837.19666664668
14,30,124045.13187500999
14,35,118735.06971352336
14,40,118201.98955728332
14,45,116903.46015625
14,50,115229.90161456337
14,55,118067.39628906666
15,0,116350.53557291332
15,5,115047.00653644004
15,10,116449.00890622335
15,15,115831.95364584998
15,20,113792.31611979003
15,25,113386.05919270002
15,30,116692.41067705338
15,35,109551.55750001999
15,40,114606.51864583
15,45,112898.50580729998
15,50,115177.06033853997
15,55,120526.97740885001
16,0,116244.22804689995
16,5,117577.32453124001
16,10,119124.99549476335
16,15,113291.77830727004
16,20,116222.84309894669
16,25,118365.55966147664
16,30,112673.88697917
16,35,119063.30588541334
16,40,120342.53877599338
16,45,117238.62216145999
16,50,118308.72054689999
16,55,119686.3804687583
17,0,120352.69122395667
17,5,117623.94921873337
17,10,118338.18070315331
17,15,116386.19604167998
17,20,115894.98890627665
17,25,117024.34018230329
17,30,114896.53835935667
17,35,122539.70229169994
17,40,126506.35552081672
17,45,123886.86820316329
17,50,124595.99411456002
17,55,125848.15791015835
18,0,121409.49611977336
18,5,123028.86161460665
18,10,122126.78046874667
18,15,122884.33059894669
18,20,126494.8931771033
18,25,126593.14682290005
18,30,125063.71080733663
18,35,126193.12703123337
18,40,121967.02390625
18,45,123723.32651040668
18,50,123775.39328126996
18,55,120863.86608072503
19,0,123847.35182293999
19,5,121299.86427080003
19,10,121100.62861979334
19,15,120377.04830726338
19,20,117220.63520833668
19,25,115632.86830728667
19,30,113037.65455732997
19,35,115424.66585935667
19,40,114980.16036458999
19,45,111856.65062502665
19,50,115853.47750002329
19,55,114541.15279945414
20,0,114067.70778648998
20,5,116657.84513020003
20,10,116266.70023437667
20,15,112982.17367186333
20,20,116715.56828124002
20,25,111363.28557292999
20,30,111370.30809897333
20,35,115663.55932291999
20,40,113094.58802085
20,45,110374.36997395335
20,50,112543.67080732997
20,55,102612.81422524167
21,0,100603.76843750336
21,5,100396.75234377998
21,10,98825.25713540666
21,15,98925.01669267668
21,20,100117.94523439332
21,25,103903.47598960661
21,30,98259.52627604335
21,35,102644.71395833332
21,40,101400.88434898331
21,45,101384.68718751331
21,50,102442.62828127995
21,55,98136.14466142088
22,0,99833.98388019334
22,5,102962.92716143666
22,10,97614.3933854
22,15,98826.20593750998
22,20,104441.78361980998
22,25,99293.56315104666
22,30,101021.73674476003
22,35,101968.04294270002
22,40,98208.78453124335
22,45,101187.85820312667
22,50,102300.07468747334
22,55,99545.65182289171
23,0,101692.28062501668
23,5,103338.38028643002
23,10,101936.80468752998
23,15,102650.77721354667
23,20,100804.99848960995
23,25,100799.41359375668
23,30,101511.1643750233
23,35,99263.25033853334
23,40,99687.51614585998
23,45,98422.47867189995
23,50,100371.78239585333
23,55,98787.74163414164
0,0,98660.70315101666
0,5,99701.86950519668
0,10,98685.45434897667
0,15,98182.23812498337
0,20,100973.81710938665
0,25,97309.31369790998
0,30,99544.73236978338
0,35,99644.26453125999
0,40,98418.00242189335
0,45,98490.97372397331
0,50,100970.77927081668
0,55,97516.42412107087
1,0,99363.72973959999
1,5,98729.83421875998
1,10,94665.14710936998
1,15,96057.26356773329
1,20,96588.7140885633
1,25,93899.25515625995
1,30,95675.01213544996
1,35,93906.97562501
1,40,94728.09679684669
1,45,94019.72192707667
1,50,93064.6180468933
1,55,93264.64453122082
2,0,95458.89861980664
2,5,97681.48247391672
2,10,99772.88624999668
2,15,99471.53442708332
2,20,99527.53320312667
2,25,98265.53911458333
2,30,97046.30596353335
2,35,97246.05046874001
2,40,92869.6335416567
2,45,99774.87083334997
2,50,98882.25960938334
2,55,95040.8817708292
3,0,98114.95742187001
3,5,98187.86104168
3,10,95948.78479167336
3,15,97653.82817709664
3,20,97312.41164061669
3,25,93646.84039063
3,30,98423.95648437002
3,35,94356.18268224671
3,40,97066.96971353666
3,45,95249.45072912004
3,50,97102.94955727666
3,55,95661.96630860001
4,0,97348.5740364267
4,5,94684.9973176867
4,10,94703.46020833001
4,15,97333.24320311
4,20,97163.51497395337
4,25,94264.17679685337
4,30,96868.75705731996
4,35,96417.8185417033
4,40,96425.79687499
4,45,100048.50273435669
4,50,95393.59549479002
4,55,94614.82998045003
5,0,99246.65833333999
5,5,96328.18398438666
5,10,99397.52424479333
5,15,105004.81158851334
5,20,98547.52984373335
5,25,99447.20158850336
5,30,101232.70651044993
5,35,98045.33940104666
5,40,99507.50138019003
5,45,103595.06510416
5,50,101479.1003385167
5,55,103919.16256509583
6,0,102508.91390625997
6,5,92787.4664322667
6,10,93503.38546876665
6,15,94641.18216146332
6,20,104866.06190103001
6,25,108022.12841143004
6,30,107113.23304689999
6,35,103344.87098959665
6,40,103179.58286460662
6,45,111591.34427083001
6,50,111856.05877602003
6,55,108948.08216145834
7,0,110527.54390626663
7,5,112701.61953124998
7,10,110125.88614583669
7,15,115049.99640622998
7,20,116040.88471359324
7,25,113081.01005208331
7,30,117591.32796875999
7,35,119951.73091145667
7,40,127736.61591145337
7,45,132747.50484375
7,50,132808.29124999666
7,55,130667.0232096167
8,0,126567.69419270002
8,5,127688.94148435001
8,10,128087.54161460663
8,15,128249.34184895667
8,20,124518.68270831
8,25,121814.66335936333
8,30,123093.55624999337
8,35,122916.55440103333
8,40,122405.2769010533
8,45,124727.16286458999
8,50,123473.13789061
8,55,125149.25761715836
9,0,128959.31325520667
9,5,124687.68075519663
9,10,124430.03789060334
9,15,125450.82414061665
9,20,123144.91536462659
9,25,124582.55109376
9,30,123101.73789062334
9,35,118156.73213544334
9,40,114995.03119790669
9,45,117235.78895834665
9,50,117780.18393227339
9,55,115544.51005859583
10,0,114991.06138020665
10,5,119795.73213540333
10,10,125074.23932292
10,15,133072.98062500666
10,20,134304.47601563332
10,25,134153.1232551967
10,30,122160.11343750336
10,35,118087.62195310001
10,40,119727.84338541333
10,45,117007.89622395998
10,50,115861.70841140008
10,55,111987.37994791247
11,0,117585.75825516671
11,5,119138.60119790665
11,10,124814.03643230996
11,15,123574.55481771
11,20,119775.30888022331
11,25,124989.02773438334
11,30,121550.8906510034
11,35,121898.39018232329
11,40,123359.58244790336
11,45,117526.12007813665
11,50,117655.63322917998
11,55,122612.629036475
12,0,117737.88682293666
12,5,123436.41841146997
12,10,125041.20294270334
12,15,115327.62617185335
12,20,116536.33606767672
12,25,117182.61182290336
12,30,115231.9814843334
12,35,110486.70919270665
12,40,112315.3202864933
12,45,111111.50736977666
12,50,109223.66723958001
12,55,114636.01588537922
13,0,109093.36838542997
13,5,109522.98401044331
13,10,109366.63231768669
13,15,105023.13867189997
13,20,107298.95164061335
13,25,108813.80408851667
13,30,107442.74182293
13,35,112910.02570309005
13,40,110400.25111977337
13,45,109624.57651040665
13,50,111063.16927085666
13,55,107102.11028646665
14,0,110343.22249997001
14,5,112287.79148436668
14,10,110040.27302083666
14,15,112469.3520833533
14,20,110653.87953125
14,25,111045.35101563996
14,30,109920.05195308338
14,35,104239.8449218667
14,40,103882.25268229
14,45,105602.90856769338
14,50,104819.56216146666
14,55,101862.15804036245
15,0,99417.29184897999
15,5,102992.93739583665
15,10,102006.4908073
15,15,100035.86671877331
15,20,101876.23257814666
15,25,99419.38606770002
15,30,103338.19713539668
15,35,99782.01643229001
15,40,100505.3793489833
15,45,103835.03007814997
15,50,104828.12369791999
15,55,101097.71662523854
16,0,106976.65301004348
16,5,104973.66309896667
16,10,105722.75463541667
16,15,109244.65651041002
16,20,106722.10109373336
16,25,104460.44700522996
16,30,104926.46497396332
16,35,101006.62471352336
16,40,107622.72937501331
16,45,103821.52822915999
16,50,105726.16942708
16,55,112919.44010419164
17,0,107845.88390626998
17,5,107028.82401044332
17,10,107359.65304688667
17,15,105247.86653642672
17,20,108625.41346356328
17,25,110147.58833330002
17,30,108203.40216146666
17,35,112963.84291666334
17,40,110508.46440105666
17,45,111873.75919270997
17,50,109694.52914064997
17,55,110384.1051757792
18,0,109379.4939844166
18,5,110177.48385410676
18,10,109205.28776040669
18,15,112230.20273441995
18,20,109710.89835938666
18,25,109500.12015626664
18,30,107469.10367187334
18,35,104788.51210937335
18,40,103622.69304684336
18,45,103770.83989585664
18,50,105058.64528648
18,55,107104.03704428334
19,0,101849.59127601668
19,5,106113.4585676967
19,10,104288.07526041003
19,15,102543.7589323133
19,20,106366.11419271666
19,25,103463.42630208666
19,30,107686.43013018002
19,35,113480.40419268003
19,40,109640.6524479
19,45,108207.23859375333
19,50,111889.41283850337
19,55,105842.42682291252
20,0,106910.48007815331
20,5,109030.85234377996
20,10,109854.06721356329
20,15,106235.05156252331
20,20,105953.40664059004
20,25,101068.42338542666
20,30,102755.2774478967
20,35,103322.33401039337
20,40,99791.49515624334
20,45,106320.28049479667
20,50,103126.13958333667
20,55,103249.81240234998
21,0,105661.35333334332
21,5,103508.09682291003
21,10,98718.87614583001
21,15,98480.60572918331
21,20,101979.40658852334
21,25,101040.05096353333
21,30,100049.40828125665
21,35,100335.53179685005
21,40,98530.6610416833
21,45,98603.99289065663
21,50,99548.84031250002
21,55,98648.44944660836
22,0,100857.71260415667
22,5,102462.18265627332
22,10,97343.02328126332
22,15,97321.14799481998
22,20,97663.20205726335
22,25,96417.67377601005
22,30,99195.55960939
22,35,100252.74263019006
22,40,97497.30882812999
22,45,99567.95695314665
22,50,102739.01664061332
22,55,91587.16236274474
23,0,95672.9532031167
23,5,97320.24893229001
23,10,100941.07471354005
23,15,100265.17736979664
23,20,97845.6477864933
23,25,97437.53070310337
23,30,99813.03361980332
23,35,98497.11119792331
23,40,97164.44528644002
23,45,102070.0808854333
23,50,100165.09643229994
23,55,95403.01487627918
0,0,95496.54622393004
0,5,94896.91276039669
0,10,92876.75463542
0,15,97895.88830730335
0,20,95706.12382812999
0,25,95941.30708333
0,30,95218.54393230334
0,35,96290.88726560003
0,40,94371.8188542033
0,45,97821.66268232334
0,50,95322.85252605334
0,55,96558.28723191637
1,0,94759.92127603003
1,5,93365.87927085333
1,10,91277.92812498337
1,15,92253.1106770767
1,20,91682.27690104002
1,25,90239.32976558001
1,30,90856.52093750333
1,35,91773.2450521
1,40,90235.5333333766
1,45,93184.67546876997
1,50,96491.56877605335
1,55,92344.1380208375
2,0,99438.98161462334
2,5,111331.16835937333
2,10,105151.77408852665
2,15,106296.70309896996
2,20,112231.92958333333
2,25,108045.93822916331
2,30,110376.63820312665
2,35,110038.70135415667
2,40,106579.79843748001
2,45,107494.57468750002
2,50,111744.23119791
2,55,108305.90784504583
3,0,111858.64736979335
3,5,115212.10010416001
3,10,106462.34140628662
3,15,102943.2323697567
3,20,109314.23260417333
3,25,111481.30138020666
3,30,125652.79638019003
3,35,124350.78807293331
3,40,127579.29601563334
3,45,125656.51859376667
3,50,129298.03171874664
3,55,129744.74960934588
4,0,137782.19489583332
4,5,144133.77786458333
4,10,146374.73796875
4,15,154926.4759375
4,20,147616.75703125
4,25,154314.66973958333
4,30,153812.14708333334
4,35,160794.46098958334
4,40,162908.65979166667
4,45,163956.14088541668
4,50,165730.47822916668
4,55,167348.32317708334
5,0,178178.72770833335
5,5,175610.78208333332
5,10,186239.98208333334
5,15,192836.62927083333
5,20,198453.16901041666
5,25,204132.74052083332
5,30,201085.59395833334
5,35,204068.24083333334
5,40,199810.75677083334
5,45,207310.36739583334
5,50,208410.19
5,55,209244.552734375
6,0,212577.34817708333
6,5,204884.51854166668
6,10,203306.66901041666
6,15,206499.52291666667
6,20,208098.24286458333
6,25,202251.37609375
6,30,202558.46567708332
6,35,201668.50989583333
6,40,198446.11057291666
6,45,206293.15229166666
6,50,200876.25182291667
6,55,205039.82174479167
7,0,209898.01307291666
7,5,201706.81171875
7,10,198791.63734375
7,15,202852.93640625
7,20,201868.31203125
7,25,204186.9384375
7,30,203030.39380208333
7,35,193879.3471875
7,40,204243.64140625
7,45,203646.77182291666
7,50,200880.11234375
7,55,206623.91569010416
8,0,204178.71244791665
8,5,195547.29890625
8,10,202919.390625
8,15,201347.41
8,20,199866.60776041666
8,25,199966.37151041668
8,30,192970.185
8,35,187355.55151041667
8,40,188506.18265625
8,45,185304.01895833333
8,50,185508.91661458334
8,55,193258.29069010416
9,0,190389.13130208335
9,5,194633.02098958334
9,10,192720.14895833333
9,15,199020.43401041668
9,20,197547.62348958335
9,25,201991.93473958335
9,30,199019.946875
9,35,207112.49848958335
9,40,205118.10692708334
9,45,200469.531875
9,50,196137.68609375
9,55,196862.97239583332
10,0,196237.7546875
10,5,205496.88677083334
10,10,198923.38796875
10,15,207633.84979166667
10,20,212965.85015625
10,25,213471.81083333332
10,30,216380.47171875
10,35,213856.1021875
10,40,204633.16489583332
10,45,207895.59244791666
10,50,202748.2940625
10,55,200780.62467447916
11,0,205691.42723958334
11,5,199763.58822916666
11,10,205783.0315625
11,15,201040.43161458333
11,20,202524.24645833333
11,25,206361.38791666666
11,30,203514.68427083333
11,35,204450.12635416666
11,40,205018.88473958333
11,45,200686.46
11,50,199701.15494791666
11,55,200502.3869140625
12,0,201704.11708333335
12,5,190161.25473958332
12,10,180941.49479166666
12,15,175416.06921875
12,20,184810.57697916665
12,25,182437.949375
12,30,178351.6434375
12,35,172433.96666666667
12,40,169854.61729166665
12,45,173200.93333333332
12,50,167208.26505208333
12,55,163868.83763020832
13,0,172958.17229166668
13,5,161754.53505208335
13,10,167489.86796875
13,15,164654.4309375
13,20,163199.59213541666
13,25,137717.06828124667
13,30,140930.7189843667
13,35,140142.74911458333
13,40,143446.28385416666
13,45,140899.3284375
13,50,139845.68921875
13,55,139297.35572916668
14,0,143337.24854166666
14,5,142910.70255208333
14,10,140560.54708333334
14,15,142756.18140625997
14,20,140961.31442708333
14,25,136446.50885416666
14,30,127138.46299478335
14,35,126695.71424477002
14,40,125838.94351560004
14,45,127370.22031251334
14,50,120075.88468748999
14,55,120588.46116535421
15,0,124483.88270829337
15,5,119884.98539063332
15,10,121981.38070312997
15,15,113550.61341146665
15,20,117117.07177081004
15,25,118645.08200520667
15,30,112375.59752606327
15,35,110207.06541667669
15,40,112375.41591145
15,45,109762.93742187001
15,50,109232.5436718467
15,55,107328.94433595
16,0,110803.18169272334
16,5,107517.6473176867
16,10,106540.19111975338
16,15,104909.41570309336
16,20,109364.68739580669
16,25,109144.84658858328
16,30,109074.22893229334
16,35,121323.95885416334
16,40,131667.96484375666
16,45,125895.12796874998
16,50,124448.41111979666
16,55,117452.67057290835
17,0,122342.61851561668
17,5,128564.00625001
17,10,124386.45473958337
17,15,122668.37270832335
17,20,129269.62955729666
17,25,125823.78296875331
17,30,123315.51533853334
17,35,130623.52757812
17,40,131868.95710936
17,45,128987.45596352672
17,50,131112.30486980997
17,55,134711.71429037084
18,0,129647.3979687167
18,5,129209.81033854999
18,10,127668.09809895334
18,15,129981.04315104996
18,20,130929.74546875333
18,25,127204.2433854233
18,30,127285.55723957332
18,35,119308.23476566996
18,40,119020.5173177133
18,45,128925.00559894333
18,50,125595.89338542335
18,55,130590.82151695412
19,0,131096.31820312
19,5,127128.5192968567
19,10,115842.14054689999
19,15,115090.4433333866
19,20,117365.13544271
19,25,123805.15398437
19,30,127348.45953124332
19,35,124176.41869790002
19,40,112112.9012499867
19,45,108457.34919274661
19,50,103042.45424477004
19,55,99601.38463540003
20,0,105216.28638018336
20,5,104458.52468752331
20,10,105278.69031246338
20,15,104221.45940103667
20,20,102810.16252601668
20,25,104084.98838543997
20,30,103285.99328126332
20,35,102133.92476566996
20,40,97913.19406247335
20,45,100802.95369793664
20,50,100406.82723960336
20,55,101555.4089518416
21,0,102561.60388021334
21,5,105093.95114583998
21,10,103337.03153648334
21,15,104775.7039843534
21,20,102401.88210937004
21,25,102332.12874998999
21,30,99607.76263024332
21,35,101096.54677084
21,40,99243.54901043
21,45,98890.07242187667
21,50,100407.67953126
21,55,102301.13271486665
22,0,99420.15296875002
22,5,100328.51606770666
22,10,99704.63385414335
22,15,99341.34481770331
22,20,102014.91809897665
22,25,104341.89244791001
22,30,99746.81757813
22,35,100553.70242186333
22,40,100926.77289064333
22,45,97088.83458334999
22,50,98837.02346354666
22,55,100252.47190751671
23,0,99279.51606771997
23,5,99615.1224739267
23,10,102805.54799480332
23,15,95561.17507808672
23,20,98529.43460937664
23,25,100315.17101564333
23,30,97642.65453125663
23,35,98543.19742185672
23,40,100292.43640624333
23,45,99117.94093751334
23,50,101963.21390626667
23,55,98752.59082031249
0,0,99294.28101562001
0,5,99224.90169270002
0,10,100001.20598957335
0,15,100551.18658852336
0,20,98522.76447918332
0,25,97139.62864585665
0,30,100086.41953125331
0,35,95966.90721353669
0,40,97884.48309894666
0,45,99544.56619791331
0,50,98409.66799476667
0,55,98114.6118815125
1,0,99749.71947918333
1,5,94651.33101563998
1,10,94160.69046875331
1,15,98750.69976561003
1,20,95667.70247395668
1,25,93062.72674478998
1,30,97284.60192707335
1,35,94357.61601561998
1,40,94807.6003385367
1,45,98795.20984372338
1,50,94791.07867187665
1,55,93792.28688153329
2,0,96628.21153642004
2,5,94416.2963281267
2,10,99170.84205728334
2,15,101353.62601561335
2,20,107278.01617187666
2,25,113441.79776041332
2,30,111643.2717708433
2,35,113305.20580730331
2,40,114376.59841148
2,45,112870.22114583333
2,50,109898.39322915669
2,55,110705.33893226254
3,0,112812.08716145667
3,5,114995.64304687333
3,10,114799.01971356329
3,15,112448.83989584331
3,20,115237.05934892666
3,25,120398.82453127662
3,30,118688.87903647331
3,35,119177.85250002997
3,40,121219.20302086997
3,45,125928.94044267006
3,50,125837.13249998333
3,55,130466.71132813748
4,0,131527.57859374667
4,5,149542.40729166666
4,10,163427.6759375
4,15,163296.854375
4,20,164119.97177083333
4,25,159367.3484375
4,30,163999.53541666668
4,35,168977.89567708335
4,40,175826.04598958333
4,45,174459.87057291667
4,50,190128.99760416665
4,55,186848.22513020833
5,0,185948.1240625
5,5,193887.42255208333
5,10,193213.31625
5,15,190709.25348958332
5,20,188968.31140625
5,25,195476.78255208334
5,30,186898.93833333332
5,35,200411.19868311036
5,40,193405.48177083334
5,45,192255.8540625
5,50,198638.55515625
5,55,196468.90052083333
