consumption,Year,Month,DayOfYear,DayOfWeek,DayType,Hour,Minute,Season
117569.65299999999,2018,7,182,6,0,11,0,2
118075.46546666666,2018,7,182,6,0,11,15,2
108327.86613333336,2018,7,182,6,0,11,30,2
106459.71726666667,2018,7,182,6,0,11,45,2
101817.42914285713,2018,7,182,6,0,12,0,2
102753.66299999999,2018,7,182,6,0,12,15,2
109039.60673333335,2018,7,182,6,0,12,30,2
103078.25933333332,2018,7,182,6,0,12,45,2
103269.80426666667,2018,7,182,6,0,13,0,2
101647.67706666669,2018,7,182,6,0,13,15,2
100258.39466666669,2018,7,182,6,0,13,30,2
100072.64973333332,2018,7,182,6,0,13,45,2
104149.10426666666,2018,7,182,6,0,14,0,2
106776.38000000002,2018,7,182,6,0,14,15,2
104067.19393333333,2018,7,182,6,0,14,30,2
105090.063,2018,7,182,6,0,14,45,2
119950.97906666667,2018,7,182,6,0,15,0,2
122129.52326666664,2018,7,182,6,0,15,15,2
117982.11035294118,2018,7,182,6,0,15,30,2
119357.56566666666,2018,7,182,6,0,15,45,2
127155.55413333335,2018,7,182,6,0,16,0,2
124091.59992857142,2018,7,182,6,0,16,15,2
113623.27253333335,2018,7,182,6,0,16,30,2
114489.68866666665,2018,7,182,6,0,16,45,2
115878.27833333334,2018,7,182,6,0,17,0,2
110690.46039999998,2018,7,182,6,0,17,15,2
105120.26333333335,2018,7,182,6,0,17,30,2
101150.57706666666,2018,7,182,6,0,17,45,2
101651.25293333334,2018,7,182,6,0,18,0,2
103347.45393333332,2018,7,182,6,0,18,15,2
102148.84433333334,2018,7,182,6,0,18,30,2
101968.81506666663,2018,7,182,6,0,18,45,2
94489.07766666666,2018,7,182,6,0,19,0,2
89955.3198,2018,7,182,6,0,19,15,2
88639.80233333333,2018,7,182,6,0,19,30,2
89531.54214285711,2018,7,182,6,0,19,45,2
88061.89853333335,2018,7,182,6,0,20,0,2
89489.5860666667,2018,7,182,6,0,20,15,2
88620.9626,2018,7,182,6,0,20,30,2
88615.8694,2018,7,182,6,0,20,45,2
87907.99466666667,2018,7,182,6,0,21,0,2
85753.20839999999,2018,7,182,6,0,21,15,2
87474.80033333335,2018,7,182,6,0,21,30,2
