,Date,W
108,2017-04-20,178911.4119763154
109,2017-04-21,168112.81771445382
110,2017-04-22,143297.6890261968
111,2017-04-23,136574.1369715376
112,2017-04-24,171401.29458243106
113,2017-04-25,173898.30543898
114,2017-04-26,180422.2051212135
115,2017-04-27,179630.46817463622
116,2017-04-28,170161.8992871289
117,2017-04-29,140026.25796766535
118,2017-04-30,142951.68363539132
119,2017-05-01,172432.53582216724
120,2017-05-02,174741.4264436145
121,2017-05-03,173919.9087744796
122,2017-05-04,164939.26377928982
123,2017-05-05,164648.89277616693
124,2017-05-06,144220.49163962394
125,2017-05-07,131194.62369812967
126,2017-05-08,167182.8681325257
127,2017-05-09,174857.57155120085
128,2017-05-10,156887.33611014954
129,2017-05-11,178207.6571393874
130,2017-05-12,192831.1515137164
131,2017-05-15,172368.72756498106
132,2017-05-16,191008.02617819075
133,2017-05-17,176452.3933511345
134,2017-05-18,186215.5133982466
135,2017-05-19,169063.05971731915
136,2017-05-20,143830.33841636995
137,2017-05-21,132860.52946384368
138,2017-05-22,181584.38209764656
139,2017-05-23,228297.93534443429
140,2017-05-24,264139.990829977
141,2017-05-26,146839.99182397025
142,2017-05-27,155120.86852647553
143,2017-05-28,141729.22423418539
144,2017-05-29,183276.62709932734
145,2017-05-30,185050.7281499401
146,2017-05-31,182652.64198288973
147,2017-06-01,181567.47562687067
148,2017-06-02,180145.71423665585
149,2017-06-03,149607.63755765403
150,2017-06-04,140162.10371084046
151,2017-06-05,183986.50478394565
152,2017-06-06,180310.21618932788
153,2017-06-07,170613.09056244258
154,2017-06-08,156778.42470232898
155,2017-06-09,150427.1812453696
156,2017-06-10,121426.78939348935
157,2017-06-16,148934.92143835506
158,2017-06-17,137694.73736739176
159,2017-06-18,127530.98872145615
160,2017-06-19,169288.4220510589
161,2017-06-20,165477.00199882008
162,2017-06-21,161536.91415364525
163,2017-06-22,162731.5736251133
164,2017-06-23,159894.88181539875
165,2017-06-24,135621.4368496513
166,2017-06-25,120007.00999676394
167,2017-06-26,136275.00172394337
168,2017-06-27,146649.78666393054
169,2017-06-28,146901.84589922152
170,2017-06-29,158989.67311328815
171,2017-06-30,147089.71836976786
172,2017-07-01,127732.25378435699
173,2017-07-02,111106.463741889
174,2017-07-03,145868.95730142272
175,2017-07-04,144384.2404963225
176,2017-07-05,158441.7072208735
177,2017-07-06,139512.59271466272
178,2017-07-07,142272.26284678394
179,2017-07-08,116783.1170751542
180,2017-07-09,106887.036876937
181,2017-07-10,143524.4641217641
182,2017-07-11,145183.83500693
183,2017-07-12,145645.80590807265
184,2017-07-13,141937.6025143769
185,2017-07-14,137202.73057015694
186,2017-07-15,121720.89692489573
187,2017-07-16,107336.59586530057
188,2017-07-17,114661.05586381082
189,2017-07-18,119961.75890578095
190,2017-07-19,144180.87190270855
191,2017-07-20,99253.87357945456
192,2017-07-23,111818.4260921339
193,2017-07-24,102063.80178304033
194,2017-07-25,120632.69170849225
195,2017-07-26,145743.14531591994
196,2017-07-27,157746.35467610438
197,2017-07-30,107639.41632009664
198,2017-07-31,140928.38117533538
199,2017-08-01,146337.8602565148
200,2017-08-02,147621.01756835732
201,2017-08-03,147319.57606650743
202,2017-08-04,149677.88912152842
203,2017-08-05,130132.0516593628
204,2017-08-06,119174.50566180608
205,2017-08-07,144650.59959067169
206,2017-08-08,151218.78555313946
207,2017-08-09,148263.40816632376
208,2017-08-10,147105.17607418462
209,2017-08-11,157308.33196349445
210,2017-08-12,134149.22312893177
211,2017-08-13,108460.45961802012
212,2017-08-14,130920.60432382615
213,2017-08-15,108181.11621906725
214,2017-08-16,141329.6232897209
215,2017-08-17,143219.94164465705
216,2017-08-18,142483.1175026859
217,2017-08-19,122771.91496782973
218,2017-08-20,115582.89457944447
219,2017-08-21,134089.13299582686
220,2017-08-22,135742.30048483337
221,2017-08-23,139250.47191227568
222,2017-08-24,143181.0379607556
223,2017-08-25,112929.82450072365
224,2017-08-26,116772.12998112456
225,2017-08-27,104729.93799904977
226,2017-08-28,127510.69539191255
227,2017-08-29,103257.49797203497
228,2017-08-30,129016.3002787191
229,2017-08-31,138491.83627244885
230,2017-09-01,141431.11292185786
231,2017-09-02,115644.84475258327
232,2017-09-03,115001.0563492245
233,2017-09-04,109327.18264105386
234,2017-09-05,146936.36986153302
235,2017-09-06,146071.797167704
236,2017-09-07,167555.55544428734
237,2017-09-08,157885.29638530046
238,2017-09-09,127222.9071130817
239,2017-09-10,118005.20475917695
240,2017-09-11,153694.3927818005
241,2017-09-12,159243.95335630694
242,2017-09-13,148482.4728018774
243,2017-09-14,148784.1490219274
244,2017-09-15,146592.73786666212
245,2017-09-16,122772.6551598432
246,2017-09-17,123088.92121176586
247,2017-09-18,151895.2379969179
248,2017-09-19,143546.26531299955
249,2017-09-20,149134.85133531806
250,2017-09-21,138390.95544304381
251,2017-09-22,140292.91618573392
252,2017-09-23,120692.6501641565
253,2017-09-24,113835.15822787775
254,2017-09-25,154478.15946415655
255,2017-09-26,165887.60758049798
256,2017-09-27,151231.8233124902
257,2017-09-28,155838.05821445267
258,2017-09-29,154283.43757758162
259,2017-09-30,117459.01862703645
260,2017-10-01,120637.87496989265
261,2017-10-02,130987.50571616329
262,2017-10-03,161039.1370792223
263,2017-10-04,163895.7386726887
264,2017-10-05,165473.18413906125
265,2017-10-06,171235.1449477039
266,2017-10-07,110963.7529570293
267,2017-10-08,114287.20500680414
268,2017-10-09,152685.5569941398
269,2017-10-10,147780.51906888798
270,2017-10-11,139537.45517459937
271,2017-10-12,145771.93237524742
272,2017-10-13,134746.0565354792
273,2017-10-14,118485.33531430925
274,2017-10-15,109115.61344003589
275,2017-10-16,143410.36480960596
276,2017-10-17,142329.88748265017
277,2017-10-18,131222.6188116982
278,2017-10-19,105173.47997404268
279,2017-10-20,128592.73372775385
280,2017-10-23,153574.00670653145
281,2017-10-24,144999.8219030668
282,2017-10-25,144290.3883756002
283,2017-10-26,143212.7104448792
284,2017-10-27,140229.8359365982
285,2017-10-28,118011.56568846096
286,2017-10-29,113818.54176059901
287,2017-10-30,142959.5191979037
288,2017-10-31,147656.1033518913
289,2017-11-01,137402.21143645231
290,2017-11-02,139559.88168066705
291,2017-11-03,140998.48487097688
292,2017-11-04,119089.77693869715
293,2017-11-05,115684.06929066633
294,2017-11-06,145177.49936311087
295,2017-11-07,142275.89007956686
296,2017-11-08,144416.83452067935
297,2017-11-09,138912.08813069732
298,2017-11-10,137710.90943064634
299,2017-11-11,117583.48885715446
300,2017-11-12,107192.84890795287
301,2017-11-13,127164.10629183927
302,2017-11-14,128019.12934783347
303,2017-11-15,127278.3542469391
304,2017-11-16,126089.28162255301
305,2017-11-17,125818.44272795547
306,2017-11-18,104193.98209277671
307,2017-11-19,107265.14506407152
308,2017-11-20,121539.62959968473
309,2017-11-21,130565.31554630675
310,2017-11-22,130624.65927491162
311,2017-11-23,138024.35671053748
312,2017-11-24,126231.85786397735
313,2017-11-25,104062.40198137028
314,2017-11-26,95788.13801631186
315,2017-11-27,114774.79076519776
316,2017-11-28,126420.45748071061
317,2017-11-29,115668.3035698902
318,2017-11-30,114773.40292126675
319,2017-12-01,109364.29916162696
320,2017-12-02,102315.502621619
321,2017-12-03,93334.09701119813
322,2017-12-04,116692.42905878465
323,2017-12-05,101717.70235838856
324,2017-12-06,108934.60146275934
325,2017-12-07,108871.63168772108
326,2017-12-08,107406.57236918477
327,2017-12-09,93975.34279685596
328,2017-12-10,91370.27459569533
329,2017-12-11,107939.16646257632
330,2017-12-12,105774.40604844227
331,2017-12-13,103802.83145899297
332,2017-12-14,102971.02414067676
333,2017-12-15,105974.79681292176
334,2017-12-16,90319.29318862662
335,2017-12-17,92553.93320763708
336,2017-12-18,101110.71366387924
337,2017-12-19,102244.16663213783
338,2017-12-20,105096.10683230916
339,2017-12-21,101716.11299153576
340,2017-12-22,104972.3975985938
341,2017-12-23,89809.13724734477
342,2017-12-24,85146.10462595613
343,2017-12-25,89259.97816279539
344,2017-12-26,102029.29570911759
345,2017-12-27,104289.86619071463
346,2017-12-28,104547.88559660676
347,2017-12-29,109745.60998383447
348,2017-12-30,90751.22037639463
349,2017-12-31,87303.28180237846
350,2017-12-31,77824.75667106088
351,2018-01-01,93761.02899537931
352,2018-01-02,102344.56587007179
353,2018-01-03,98783.87290145164
354,2018-01-04,105824.19991520008
355,2018-01-05,104847.7226938233
356,2018-01-06,85578.79791426296
357,2018-01-07,81704.72381263929
358,2018-01-08,105338.84648582796
359,2018-01-09,104700.12182052377
360,2018-01-10,103119.33912654404
361,2018-01-11,111080.465258067
362,2018-01-12,110006.83615515867
363,2018-01-13,90616.54845736394
364,2018-01-14,89349.1723773143
365,2018-01-15,119662.3666087878
366,2018-01-16,117039.03606731285
367,2018-01-17,118659.54690773686
368,2018-01-18,124285.28654899812
